Time, Server1 (%), Server2 (%), Server3 (%), Server4 (%), Server1_LB (MB/s), Server2_LB (MB/s), Server3_LB (MB/s), Server4_LB (MB/s), PCIeChannel1 (MB/s), PCIeChannel2 (MB/s), PCIeChannel3 (MB/s), PCIeChannel4 (MB/s), JBOD1 rate (MB/s),  JBOD2 rate (MB/s), SSD rate (MB/s), JBOD1 (MB), JBOD2 (MB), SSD (MB), Cache (MB)
10.0, 0.09, 0.09, 0.09, 0.09, 0.314392, 0.314392, 19.449542, 0.314392, 0.314392, 0.314392, 0.995231, 0.314392, 0.747842, 0.509237, 0.000000, 420.54, 432.64, 430.85, 5.18
10.1, 0.09, 0.09, 0.09, 0.09, 0.314392, 0.314392, 23.183104, 1.513586, 3.586160, 0.314392, 15.118893, 4.258933, 1.591711, 1.591711, 0.000000, 425.34, 437.18, 435.78, 3.78
10.2, 0.10, 0.09, 0.09, 0.09, 0.314392, 0.314392, 5.897416, 0.314392, 0.314392, 1.477810, 0.314392, 4.194231, 1.591711, 1.591711, 0.000000, 429.95, 441.28, 439.62, 5.82
10.3, 0.10, 0.10, 0.09, 0.09, 0.314392, 0.314392, 4.983159, 0.314392, 0.314392, 0.314392, 0.656585, 4.757948, 1.591711, 1.591711, 0.000000, 434.88, 445.70, 444.35, 4.93
10.4, 0.10, 0.10, 0.10, 0.09, 5.591454, 2.983406, 20.480072, 0.314392, 0.314392, 0.314392, 2.780951, 0.695864, 1.591711, 1.591711, 0.000000, 439.55, 449.54, 449.02, 3.26
10.5, 0.10, 0.10, 0.10, 0.10, 0.314392, 0.314392, 21.978148, 0.314392, 0.314392, 0.314392, 2.156361, 0.314392, 1.591711, 1.591711, 0.000000, 443.58, 454.21, 453.57, 5.06
10.6, 0.10, 0.10, 0.10, 0.10, 0.314392, 0.314392, 0.660784, 0.447935, 0.314392, 0.314392, 1.141636, 0.314392, 1.591711, 1.591711, 0.000000, 448.19, 459.14, 458.30, 4.29
10.7, 0.10, 0.10, 0.10, 0.10, 0.314392, 0.314392, 12.241688, 0.314392, 0.314392, 0.314392, 12.990428, 0.314392, 1.591711, 1.591711, 0.000000, 452.22, 463.30, 462.59, 5.44
10.8, 0.10, 0.10, 0.10, 0.10, 0.314392, 2.059832, 0.660784, 4.890552, 0.314392, 0.314392, 1.342393, 0.314392, 1.591711, 1.591711, 0.000000, 456.77, 468.35, 467.07, 5.12
10.9, 0.10, 0.10, 0.10, 0.10, 0.314392, 0.314392, 9.398436, 0.314392, 0.314392, 0.314392, 14.857873, 0.314392, 1.591711, 1.591711, 0.000000, 461.82, 471.55, 470.91, 6.91
11.0, 0.10, 0.10, 0.10, 0.10, 0.314392, 0.314392, 0.986182, 3.342837, 0.314392, 0.314392, 9.778253, 0.313213, 1.591711, 1.591711, 0.000000, 466.50, 475.65, 475.71, 5.63
11.1, 0.10, 0.10, 0.10, 0.10, 0.314392, 0.314392, 18.265829, 0.314392, 0.314392, 4.600830, 1.055728, 0.314392, 1.591711, 1.591711, 0.000000, 470.66, 480.13, 479.81, 5.25
11.2, 0.10, 0.10, 0.10, 0.10, 0.314392, 0.314392, 1.114435, 0.314392, 0.314392, 0.314392, 21.526248, 0.314392, 1.419736, 1.050474, 0.000000, 475.14, 484.54, 484.67, 3.97
11.3, 0.10, 0.10, 0.10, 0.10, 0.314392, 0.314392, 18.179171, 5.662344, 0.314392, 0.314392, 0.986182, 0.314392, 1.591711, 1.389449, 0.000000, 480.00, 489.28, 489.22, 2.43
